"Numero di Clusters";"AngelaIndex";"Individui per cluster (Numero cluster: numero elementi)";"Numero di riga";"Cluster"
3;0.605;"0 : 37,1 : 63,2 : 51";29;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 0 1 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 2 0 1 1 2 2 2 1 0 1 1 1 1 1 0 1 1 1 2 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.605;"0 : 34,1 : 100,2 : 17";62;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 2 2 2 0 2 2 0 0 1 0 1 0 2 1 1 2 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.605;"0 : 34,1 : 73,2 : 44";73;"0 1 0 2 0 0 0 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 1 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 33,1 : 22,2 : 96";1;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.604;"0 : 37,1 : 63,2 : 51";26;"1 1 1 2 0 0 1 0 0 2 0 2 0 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 0 0 0 2 2 2 1 2 2 2 2 2 0 2 1 2 1 0 0 0 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 1 2 2 2 2 2 2 0 2 0 2 1 2 0 1 1 2 1 1 1 1 0 1 2 2 0 0 0 1 2 1 1 1 1 1 0 1 1 2 2 2 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 35,1 : 72,2 : 44";74;"0 1 0 2 0 0 0 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 1 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 35,1 : 72,2 : 44";80;"0 1 0 2 0 0 0 2 0 0 0 2 0 2 0 2 2 2 0 2 2 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 0 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.604;"0 : 36,1 : 71,2 : 44";85;"1 1 0 2 0 0 0 2 0 0 1 2 0 2 0 2 2 2 0 2 0 0 2 0 2 1 2 2 0 0 2 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 0 2 0 2 2 0 0 0 2 2 2 0 1 0 2 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 2 0 1 1 0 2 1 1 1 2 1 1 1 1 1 1 1 2 0 1 0 1 1 1 1 2 2 1 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 "
3;0.603;"0 : 34,1 : 22,2 : 95";2;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 0 0 2 2 2 0 2 2 2 1 2 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.603;"0 : 35,1 : 22,2 : 94";4;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 0 0 2 2 2 0 2 2 2 1 0 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
3;0.603;"0 : 35,1 : 22,2 : 94";6;"1 1 1 2 0 0 1 0 0 2 0 2 1 0 1 0 0 2 0 2 2 2 2 0 2 1 2 2 0 0 2 2 0 2 2 0 0 2 2 2 0 2 2 2 2 2 0 2 0 2 1 2 0 2 2 2 2 0 0 2 0 1 2 2 1 2 2 2 2 0 2 2 2 2 2 2 0 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 1 2 0 1 2 2 2 2 0 2 1 2 2 2 0 2 2 2 0 2 2 2 1 0 0 2 1 2 2 2 1 1 2 1 2 0 0 2 2 2 2 1 2 2 2 2 1 2 2 2 1 2 0 2 2 2 2 "
